"","food_code","main_food_description","fortification_id"
"1",11100000,"Milk",1
"2",13110000,"Ice cream",0
"3",13200110,"Pudding",1
"4",14010000,"Cheese",1
"5",20000000,"Meat",0
"6",20000200,"Ground meat",0
"7",23321000,"Venison/deer",0
"8",24201000,"Turkey",0
"9",25220010,"Cold cut",0
"10",25220410,"Bologna",0
"11",25221500,"Salami",0
"12",25230110,"Luncheon meat",0
"13",27360000,"Stew",0
"14",27360010,"Goulash",0
"15",27360050,"Meat pie",0
"16",27360090,"Paella",0
"17",27500050,"Sandwich",0
"18",27500100,"Meat sandwich",0
"19",27510000,"Beef sandwich",0
"20",28101000,"Frozen dinner",0
"21",41201010,"Baked beans",0
"22",41601010,"Bean soup",0
"23",42100100,"Almonds",0
"24",42104000,"Cashew nuts",0
"25",42110000,"Mixed nuts",0
"26",42111000,"Peanuts",0
"27",52215000,"Tortilla",0
"28",52301000,"Muffin",0
"29",53201000,"Cookie",0
"30",53300100,"Pie",0
"31",53300180,"Pie, fried",0
"32",53520600,"Cruller",0
"33",53712100,"Granola bar",1
"34",53714500,"Breakfast bar",1
"35",54408000,"Pretzels",0
"36",56200300,"Cereal, cooked",1
"37",56205000,"Rice, cooked",0
"38",57000000,"Cereal",1
"39",57000100,"Oat cereal",1
"40",57124000,"Chex cereal",1
"41",57134000,"Corn flakes",1
"42",57216000,"Frosted rice",1
"43",57221700,"Fruit Rings",1
"44",57227000,"Granola",1
"45",57308150,"Mueslix cereal",1
"46",57329000,"Raisin bran",1
"47",57337000,"Rice Flakes",1
"48",58136110,"Lo mein",0
"49",58137210,"Pad Thai",0
"50",58150310,"Rice, fried",0
"51",58151100,"Sushi",0
"52",58400000,"Soup",0
"53",58400100,"Noodle soup",0
"54",58400200,"Rice soup",0
"55",61210000,"Orange juice",1
"56",63200100,"Berries",0
"57",64100100,"Fruit juice",1
"58",64200100,"Fruit nectar",0
"59",71000100,"White potato",2
"60",73401000,"Sweet potato",2
"61",74402100,"Salsa",0
"62",74601000,"Tomato soup",0
"63",75100250,"Raw vegetable",0
"64",75100300,"Sprouts",0
"65",75122000,"Pepper",0
"66",75510000,"Olives",0
"67",75600150,"Soup, cream of",2
"68",75607000,"Mushroom soup",0
"69",81100000,"Table fat",1
"70",81100500,"Butter",0
"71",81102000,"Margarine",1
"72",82101000,"Vegetable oil",0
"73",91101000,"Sugar",0
"74",91300010,"Syrup",0
"75",91300100,"Pancake syrup",0
"76",91700010,"Candy",0
"77",91800100,"Chewing gum",0
"78",92400000,"Soft drink",0
"79",93301000,"Cocktail",0
"80",95230030,"Protein powder",1
"81",61100500,"Calamondin",0
"82",61101010,"Grapefruit",0
"83",61110010,"Kumquat",0
"84",61113010,"Lemon",0
"85",61116010,"Lime",0
"86",61119010,"Orange",0
"87",61125000,"Tangelo",0
"88",61125010,"Tangerine",0
"89",63101000,"Apple",0
"90",63103010,"Apricot",0
"91",63105010,"Avocado",0
"92",63107010,"Banana",0
"93",63110010,"Cassaba melon",0
"94",63117010,"Currants",0
"95",63119010,"Fig",0
"96",63125010,"Guava",0
"97",63126010,"Juneberry",0
"98",63126500,"Kiwi fruit",0
"99",63126510,"Lychee",0
"100",63127010,"Honeydew melon",0
"101",63129010,"Mango",0
"102",63131010,"Nectarine",0
"103",63133010,"Papaya",0
"104",63134010,"Passion fruit",0
"105",63135010,"Peach",0
"106",63137010,"Pear",0
"107",63139010,"Persimmon",0
"108",63141010,"Pineapple",0
"109",63143010,"Plum",0
"110",63145010,"Pomegranate",0
"111",63147010,"Rhubarb",0
"112",63148750,"Tamarind",0
"113",63149010,"Watermelon",0
"114",71905000,"Ripe plantain",0
"115",72101100,"Beet greens",0
"116",72103000,"Broccoli raab",0
"117",72104100,"Chard",0
"118",72107100,"Collards",0
"119",72110100,"Cress",0
"120",72122100,"Mustard greens",0
"121",72124100,"Radicchio",0
"122",72125100,"Spinach",0
"123",72130100,"Watercress",0
"124",72201100,"Broccoli",0
"125",73101010,"Carrots",0
"126",74101000,"Tomatoes",0
"127",75100800,"Asparagus",0
"128",75102000,"Beans, lima",0
"129",75102500,"Beets",0
"130",75102600,"Broccoflower",0
"131",75103000,"Cabbage, green",0
"132",75105000,"Cabbage, red",0
"133",75105500,"Cactus",0
"134",75107000,"Cauliflower",0
"135",75109000,"Celery",0
"136",75109010,"Fennel bulb",0
"137",75109400,"Basil",0
"138",75109500,"Chives",0
"139",75109550,"Cilantro",0
"140",75109600,"Corn",0
"141",75111000,"Cucumber",0
"142",75111200,"Eggplant",0
"143",75111500,"Garlic",0
"144",75111800,"Jicama",0
"145",75112000,"Kohlrabi",0
"146",75112500,"Leek",0
"147",75113000,"Lettuce",0
"148",75115000,"Mushrooms",0
"149",75117020,"Onions, mature",0
"150",75119000,"Parsley",0
"151",75120000,"Peas, green",0
"152",75124000,"Pepper, banana",0
"153",75125000,"Radish",0
"154",75127000,"Rutabaga",0
"155",75127500,"Seaweed",0
"156",75129000,"Turnip",0
"157",93101000,"Beer",0
"158",93401010,"Wine, table, red",0
"159",93401020,"Wine, table, white",0
"160",93502000,"Whiskey",0
"161",93503000,"Gin",0
"162",93504000,"Rum",0
"163",93505000,"Vodka",0
